Date,fdate,GProfG_AR_1,GProfG_AR_2,GProfG_AR_3,GProfG_AR_4,GProfG_AR_5,GProfG_TR_1,GProfG_TR_2,GProfG_TR_3,GProfG_TR_4,GProfG_TR_5,GProfG_AR_Sig,GProfG_TR_Sig,GProfG_AR_130,GProfG_TR_130,GProfG_TR_BP,GProfG_TR_LO,GProfG_CAR_1,GProfG_CAR_2,GProfG_CAR_3,GProfG_CAR_4,GProfG_CAR_5,GProfG_CTR_1,GProfG_CTR_2,GProfG_CTR_3,GProfG_CTR_4,GProfG_CTR_5,GProfG_CAR_LS,GProfG_CTR_LS,GProfG_CAR_SW,GProfG_CTR_SW,GProfG_CTR_BP,GProfG_CTR_LO,GProfG_CXR_LO,GProfG_CTR_13,GProfG_CADD,GProfG_CTDD
2012/12/31,2012/11/30,0.90%,1.01%,0.10%,-1.35%,0.11%,3.64%,1.35%,1.08%,-0.44%,1.97%,0.47%,1.83%,-2.54%,3.42%,1.26%,2.87%,64,118,109,124,88,80,170,152,179,122,32.77%,41.29%,179.1%,241.2%,46.27%,290.0%,205.9%,463.5%,-0.07%,0.00%
2013/01/31,2012/12/31,-0.58%,0.66%,0.32%,-1.71%,0.98%,6.26%,6.06%,5.60%,3.47%,7.25%,-0.21%,-0.13%,1.25%,8.23%,5.53%,8.27%,64,118,109,122,88,85,181,161,185,131,34.85%,42.69%,178.6%,240.8%,54.35%,322.2%,214.3%,509.9%,-0.28%,-0.13%
2013/02/28,2013/01/31,-0.17%,0.18%,0.31%,-0.72%,0.69%,0.84%,1.64%,1.42%,0.60%,1.93%,1.63%,1.24%,0.83%,1.50%,1.30%,1.13%,64,119,110,121,89,86,184,163,186,133,36.00%,44.24%,183.1%,245.0%,56.35%,327.0%,213.8%,519.1%,0.00%,0.00%
2013/03/31,2013/02/28,1.49%,-1.04%,0.63%,-0.25%,-0.57%,5.35%,3.18%,4.29%,3.90%,3.83%,0.39%,-0.59%,0.36%,4.82%,4.00%,4.99%,65,117,111,121,89,90,190,170,194,138,33.20%,42.05%,184.2%,243.0%,62.60%,348.3%,216.9%,548.9%,0.00%,-0.59%
2013/04/30,2013/03/31,0.66%,0.46%,-0.42%,1.25%,-1.62%,1.83%,2.27%,1.15%,2.40%,-0.16%,-0.08%,0.57%,-0.21%,0.85%,1.68%,0.68%,65,118,110,123,87,92,194,172,198,138,30.17%,39.22%,184.0%,244.9%,65.33%,351.4%,213.7%,554.4%,-0.08%,-0.02%
2013/05/31,2013/04/30,-1.31%,1.10%,-0.78%,-0.66%,-0.96%,2.89%,3.71%,1.13%,1.66%,3.24%,-0.90%,0.71%,-1.02%,6.27%,2.46%,6.06%,65,119,109,122,86,94,201,174,202,142,30.62%,39.71%,181.5%,247.4%,69.40%,378.7%,225.0%,595.5%,-0.97%,0.00%
2013/06/30,2013/05/31,-1.26%,0.28%,0.05%,0.72%,-0.82%,-2.51%,-0.91%,-1.14%,-0.42%,-1.83%,-0.15%,-0.04%,-0.97%,-1.83%,-1.25%,-1.82%,64,119,109,123,86,92,199,172,201,140,31.19%,40.65%,181.1%,247.3%,67.28%,370.0%,223.2%,582.8%,-1.12%,-0.04%
2013/07/31,2013/06/30,1.16%,-0.84%,-0.45%,0.63%,-1.61%,6.77%,4.61%,5.10%,6.14%,5.30%,-0.82%,0.18%,-0.68%,8.17%,5.46%,8.12%,64,118,109,123,84,98,208,180,213,147,27.55%,38.59%,178.8%,247.9%,76.41%,408.2%,231.8%,638.5%,-1.93%,0.00%
2013/08/31,2013/07/31,1.41%,-0.26%,-0.77%,-0.96%,0.79%,-0.79%,-2.62%,-3.65%,-3.69%,-2.59%,0.51%,-0.16%,1.24%,-3.10%,-2.84%,-3.05%,65,118,108,122,85,98,203,174,205,143,26.76%,36.09%,180.2%,247.3%,71.40%,392.7%,231.1%,615.7%,-1.43%,-0.16%
2013/09/30,2013/08/31,-1.16%,-0.52%,0.30%,0.28%,0.28%,2.51%,3.02%,4.44%,4.01%,5.09%,0.04%,-0.20%,-0.15%,5.26%,3.76%,5.32%,65,118,108,123,85,100,209,182,213,151,28.58%,39.61%,180.3%,246.6%,77.84%,418.9%,236.2%,653.3%,-1.39%,-0.36%
2013/10/31,2013/09/30,-0.14%,0.35%,0.08%,0.62%,-1.22%,4.19%,4.45%,3.85%,4.88%,2.94%,1.31%,1.75%,-1.35%,2.77%,4.19%,2.24%,64,118,108,123,84,104,218,189,224,155,27.19%,37.87%,184.0%,252.7%,85.29%,430.5%,229.7%,674.2%,-0.09%,0.00%
2013/11/30,2013/10/31,0.54%,0.25%,-0.25%,-0.15%,-2.90%,3.51%,3.16%,2.74%,3.10%,1.19%,0.51%,0.34%,0.45%,4.72%,2.86%,4.62%,65,118,108,123,82,108,225,194,231,157,22.81%,34.68%,185.4%,253.9%,90.59%,455.0%,235.5%,710.7%,0.00%,0.00%
2013/12/31,2013/11/30,-0.16%,-0.90%,0.32%,-0.18%,0.01%,2.83%,1.86%,2.95%,2.60%,3.33%,0.98%,0.39%,0.65%,3.38%,2.61%,3.26%,65,117,108,123,82,111,230,199,237,162,23.02%,35.36%,188.2%,255.3%,95.56%,473.1%,237.7%,738.1%,0.00%,0.00%
2014/01/31,2013/12/31,-0.43%,-0.09%,-0.31%,0.60%,2.01%,-3.96%,-3.10%,-3.89%,-2.76%,-1.95%,0.91%,0.94%,5.82%,2.48%,-3.13%,2.20%,64,117,108,124,83,106,222,192,230,159,26.02%,38.07%,190.9%,258.6%,89.43%,485.8%,255.7%,759.0%,0.00%,0.00%
2014/02/28,2014/01/31,-0.49%,0.14%,0.13%,0.32%,-0.15%,4.53%,4.31%,4.59%,4.94%,5.24%,0.47%,0.84%,1.03%,6.45%,4.67%,6.20%,64,117,108,124,83,111,232,200,242,167,26.44%,39.06%,192.2%,261.6%,98.28%,522.1%,261.1%,814.3%,0.00%,0.00%
2014/03/31,2014/02/28,-0.90%,1.14%,0.41%,0.19%,-1.54%,-0.67%,1.86%,0.61%,-0.19%,-0.72%,0.90%,1.14%,0.77%,0.52%,0.51%,0.18%,64,119,109,124,82,111,236,202,241,166,25.64%,38.99%,194.9%,265.8%,99.29%,523.2%,260.0%,819.1%,0.00%,0.00%
2014/04/30,2014/03/31,0.50%,-0.28%,-0.44%,0.60%,2.06%,0.49%,0.63%,-0.62%,-0.15%,-0.65%,-0.51%,-0.59%,-0.90%,-4.89%,-0.02%,-4.72%,64,118,108,125,84,111,238,200,241,165,27.61%,37.41%,193.4%,263.6%,99.24%,493.8%,243.1%,774.2%,-0.51%,-0.59%
2014/05/31,2014/04/30,-0.85%,0.22%,-0.48%,0.25%,1.55%,1.19%,2.46%,1.73%,2.23%,2.42%,0.74%,0.33%,-0.15%,-0.21%,2.10%,-0.30%,63,118,108,125,85,112,244,204,246,169,30.68%,39.09%,195.6%,264.8%,103.4%,492.0%,234.8%,772.3%,0.00%,-0.27%
2014/06/30,2014/05/31,0.44%,0.42%,-0.43%,-0.80%,-0.47%,3.19%,2.60%,1.70%,1.82%,4.19%,0.21%,0.57%,-0.54%,5.99%,2.50%,5.82%,64,119,107,124,84,116,250,207,251,176,29.48%,40.48%,196.2%,266.9%,108.5%,526.4%,245.9%,824.6%,0.00%,0.00%
2014/07/31,2014/06/30,0.06%,-0.32%,-0.58%,0.23%,2.56%,-2.24%,-2.24%,-2.03%,-1.60%,-1.73%,-0.91%,-1.63%,-0.22%,-6.91%,-1.95%,-6.42%,64,119,107,125,87,113,244,203,247,173,32.72%,41.20%,193.5%,260.9%,104.4%,486.2%,230.5%,760.7%,-0.91%,-1.63%
2014/08/31,2014/07/31,-0.44%,0.21%,-0.26%,0.26%,-0.35%,3.84%,4.06%,3.61%,4.50%,4.95%,0.19%,0.15%,-0.47%,4.45%,4.18%,4.41%,63,119,106,125,86,118,254,211,258,182,32.85%,42.78%,194.0%,261.4%,113.0%,512.1%,231.2%,799.0%,-0.72%,-1.48%
2014/09/30,2014/08/31,-0.19%,-0.35%,-0.13%,0.29%,0.20%,-2.79%,-2.21%,-1.35%,-2.09%,-2.67%,0.97%,0.00%,-0.55%,-6.24%,-2.09%,-6.24%,63,118,106,125,86,114,249,208,252,177,33.38%,42.95%,196.9%,261.4%,108.5%,473.8%,217.5%,742.9%,0.00%,-1.48%
2014/10/31,2014/09/30,-1.61%,1.60%,1.45%,-0.07%,-2.59%,1.68%,3.03%,2.77%,3.27%,2.31%,0.89%,1.60%,-5.00%,1.81%,2.74%,1.33%,62,120,108,125,84,116,256,213,261,181,32.07%,43.84%,199.5%,267.2%,114.2%,481.5%,213.0%,758.2%,0.00%,0.00%
2014/11/30,2014/10/31,-1.96%,0.56%,1.20%,0.72%,-1.58%,0.33%,3.39%,2.69%,3.38%,1.34%,0.28%,-0.49%,-1.76%,-1.72%,2.53%,-1.57%,61,121,109,126,83,117,265,219,269,183,32.58%,45.30%,200.3%,265.4%,119.7%,472.4%,200.2%,743.5%,0.00%,-0.49%
2014/12/31,2014/11/30,-0.17%,0.03%,0.21%,0.71%,-0.51%,0.41%,-0.92%,0.53%,0.67%,-0.65%,1.56%,1.63%,-1.84%,0.54%,-0.03%,0.05%,61,121,109,127,82,117,262,220,271,182,32.13%,43.76%,205.0%,271.4%,119.6%,472.7%,200.4%,748.0%,0.00%,0.00%
2015/01/31,2014/12/31,0.01%,-0.78%,0.30%,0.49%,1.83%,-3.81%,-3.81%,-2.46%,-2.22%,-1.32%,1.28%,1.36%,2.15%,-1.39%,-2.75%,-1.80%,61,120,110,128,84,113,252,215,265,180,34.54%,47.34%,208.9%,276.4%,113.6%,462.4%,203.3%,736.2%,0.00%,0.00%
2015/02/28,2015/01/31,0.47%,-0.02%,0.33%,-0.90%,-0.69%,6.21%,6.57%,5.92%,4.73%,5.52%,-1.45%,-0.47%,-0.38%,6.60%,5.76%,6.74%,61,120,110,126,83,120,269,228,278,190,32.98%,46.33%,204.4%,274.7%,125.9%,500.3%,206.2%,791.4%,-1.45%,-0.47%
2015/03/31,2015/02/28,-0.58%,-0.01%,-0.62%,0.19%,0.39%,-0.39%,-1.45%,-1.70%,-0.60%,-0.77%,1.48%,2.21%,-2.03%,0.36%,-1.06%,-0.31%,61,120,109,127,84,119,265,224,276,188,34.26%,45.78%,209.0%,282.9%,123.5%,498.4%,208.5%,794.6%,0.00%,0.00%
2015/04/30,2015/03/31,2.09%,0.14%,0.03%,-1.02%,0.50%,0.64%,1.57%,0.38%,-0.47%,0.05%,0.11%,-4.89%,3.07%,-0.53%,0.40%,0.94%,62,120,109,125,84,120,269,225,275,188,32.13%,44.92%,209.3%,264.2%,124.4%,504.0%,210.2%,789.9%,0.00%,-4.89%
2015/05/31,2015/04/30,0.25%,0.41%,-0.61%,-0.36%,-0.38%,2.10%,0.70%,1.06%,1.25%,1.96%,-0.18%,0.77%,-0.90%,0.86%,1.29%,0.63%,62,121,109,125,84,123,271,227,278,192,31.30%,44.71%,208.7%,267.0%,127.3%,507.8%,208.1%,797.5%,-0.18%,-4.16%
2015/06/30,2015/05/31,-0.65%,0.80%,-0.07%,-0.87%,-0.22%,-1.50%,-1.03%,-1.22%,-2.34%,-1.51%,-0.51%,-0.28%,-2.37%,-2.02%,-1.63%,-1.93%,62,122,109,124,84,121,268,224,272,189,31.86%,44.69%,207.2%,266.0%,123.6%,496.1%,207.2%,779.4%,-0.69%,-4.42%
2015/07/31,2015/06/30,0.62%,3.24%,1.24%,-1.95%,-1.61%,1.00%,2.53%,2.26%,1.56%,0.40%,0.52%,2.49%,-1.64%,-3.56%,1.67%,-4.30%,62,126,110,121,82,122,275,229,276,190,28.92%,43.82%,208.7%,275.1%,127.3%,470.4%,188.9%,748.1%,-0.18%,-2.05%
2015/08/31,2015/07/31,0.12%,-1.03%,1.30%,0.51%,-0.83%,-6.53%,-6.48%,-5.06%,-5.73%,-6.75%,2.68%,2.97%,1.15%,-2.62%,-5.98%,-3.51%,62,124,111,122,82,114,257,218,260,177,27.69%,43.50%,217.0%,286.2%,113.7%,450.4%,196.0%,725.9%,0.00%,0.00%
2015/09/30,2015/08/31,-0.45%,0.49%,-0.50%,0.29%,0.24%,-4.45%,-2.19%,-2.92%,-2.22%,-3.18%,-0.07%,0.96%,-2.02%,-7.26%,-2.82%,-7.54%,62,125,111,122,82,109,252,211,254,171,28.57%,45.32%,216.8%,289.9%,107.7%,408.9%,182.0%,666.0%,-0.07%,0.00%
2015/10/31,2015/09/30,0.23%,0.30%,-0.08%,-0.81%,2.22%,8.78%,7.38%,6.85%,6.63%,9.89%,1.58%,0.90%,-0.67%,5.96%,7.68%,5.69%,62,125,111,121,84,119,270,226,271,188,31.13%,46.93%,221.8%,293.4%,123.6%,437.8%,176.4%,711.6%,0.00%,0.00%
2015/11/30,2015/10/31,-1.15%,0.52%,0.89%,-0.36%,-0.00%,-0.13%,0.72%,1.49%,0.25%,0.37%,1.28%,-0.32%,-1.27%,2.41%,0.55%,2.51%,61,126,112,121,84,118,272,229,272,189,32.62%,47.66%,225.9%,292.2%,124.8%,451.3%,181.8%,731.1%,0.00%,-0.32%
2015/12/31,2015/11/30,1.08%,-0.16%,0.63%,-1.35%,-0.77%,-1.18%,-1.80%,-1.45%,-2.51%,-3.76%,-0.32%,-0.08%,-1.53%,-6.44%,-2.07%,-6.42%,62,126,112,119,83,117,267,226,265,182,30.17%,43.86%,224.9%,291.9%,120.2%,415.9%,169.6%,677.6%,-0.32%,-0.40%
2016/01/31,2015/12/31,0.94%,-0.58%,-0.03%,0.03%,-0.43%,-5.30%,-5.62%,-5.22%,-5.68%,-6.73%,0.35%,-0.18%,-3.10%,-12.15%,-5.64%,-12.10%,63,125,112,119,83,111,252,214,250,170,28.40%,41.81%,226.1%,291.1%,107.8%,353.5%,152.2%,583.1%,0.00%,-0.58%
2016/02/29,2016/01/31,-2.10%,1.11%,1.47%,-0.03%,0.02%,-1.55%,0.61%,0.53%,-0.12%,-0.03%,2.86%,3.14%,-0.39%,1.44%,-0.05%,0.50%,61,126,114,119,83,109,254,215,250,170,31.11%,43.97%,235.4%,303.4%,107.6%,355.8%,153.6%,593.0%,0.00%,0.00%
2016/03/31,2016/02/29,0.36%,0.68%,0.87%,0.81%,-0.54%,7.78%,7.07%,6.59%,7.06%,7.43%,-1.33%,-3.01%,0.48%,9.30%,7.08%,10.20%,62,127,115,120,82,118,272,229,267,182,29.92%,43.47%,230.9%,291.3%,122.4%,402.3%,161.5%,657.4%,-1.33%,-3.01%
2016/04/30,2016/03/31,-1.18%,-0.45%,-1.08%,1.76%,2.51%,0.38%,0.17%,-0.81%,1.72%,3.92%,0.67%,-1.14%,4.31%,6.03%,0.81%,6.38%,61,127,114,122,84,118,272,228,272,189,34.72%,48.54%,233.1%,286.8%,124.2%,434.3%,176.0%,703.1%,-0.67%,-4.12%
2016/05/31,2016/04/30,0.84%,-0.43%,0.02%,0.11%,-0.82%,2.46%,1.25%,2.05%,2.36%,0.58%,0.66%,1.07%,-1.80%,-0.48%,1.79%,-0.80%,61,126,114,123,84,121,276,232,278,191,32.47%,45.76%,235.3%,291.0%,128.2%,430.0%,168.8%,699.2%,-0.02%,-3.09%
2016/06/30,2016/05/31,-1.07%,-0.37%,-0.72%,0.46%,3.14%,-1.29%,-0.36%,-0.28%,1.17%,2.15%,1.86%,3.91%,0.84%,2.78%,0.26%,1.60%,61,126,113,123,86,119,275,232,282,195,38.04%,50.79%,241.6%,306.3%,128.8%,438.5%,172.4%,721.4%,0.00%,0.00%
2016/07/31,2016/06/30,0.72%,0.63%,0.80%,0.51%,-2.60%,6.08%,4.02%,3.93%,4.02%,1.58%,0.49%,0.83%,-1.22%,6.19%,3.96%,5.94%,61,126,114,124,84,127,286,241,293,198,33.46%,44.00%,243.2%,309.6%,137.9%,470.5%,177.8%,772.2%,0.00%,0.00%
2016/08/31,2016/07/31,1.30%,0.12%,0.14%,0.38%,-2.32%,1.41%,0.20%,0.77%,-0.26%,-0.37%,-1.07%,-2.18%,-1.41%,1.15%,0.32%,1.80%,62,127,114,124,82,128,286,243,292,197,28.63%,41.42%,239.6%,300.7%,138.6%,480.8%,182.0%,782.3%,-1.07%,-2.18%
2016/09/30,2016/08/31,1.38%,-1.09%,-1.07%,0.05%,0.76%,1.77%,-0.66%,-0.82%,0.32%,1.01%,-0.22%,-0.66%,-0.64%,1.62%,0.19%,1.81%,63,125,113,124,83,131,284,241,293,199,27.83%,40.35%,238.8%,298.1%,139.1%,491.3%,186.5%,796.5%,-1.29%,-2.82%
2016/10/31,2016/09/30,0.01%,0.91%,-1.17%,0.54%,-0.52%,-2.55%,-1.71%,-2.63%,-1.80%,-2.03%,0.70%,0.90%,-2.01%,-7.75%,-2.12%,-8.02%,63,126,111,125,82,127,279,234,288,195,27.16%,41.08%,241.2%,301.6%,134.0%,443.9%,169.6%,727.0%,-0.60%,-1.95%
2016/11/30,2016/10/31,-1.82%,1.94%,0.91%,1.69%,-1.98%,1.47%,5.39%,4.91%,5.01%,5.53%,-0.34%,0.19%,-2.82%,8.01%,4.59%,7.95%,62,129,112,127,81,129,295,246,302,206,26.96%,46.81%,240.0%,302.4%,144.7%,487.1%,178.7%,793.3%,-0.94%,-1.76%
2016/12/31,2016/11/30,-0.46%,1.28%,0.13%,-0.26%,-0.80%,1.38%,2.77%,1.23%,2.03%,1.94%,-1.20%,-0.73%,-2.72%,-0.59%,1.94%,-0.37%,61,131,113,127,80,131,303,249,308,210,26.52%,47.64%,235.9%,299.5%,149.5%,485.0%,172.3%,788.0%,-2.13%,-2.48%
2017/01/31,2016/12/31,0.79%,-0.48%,-0.24%,0.75%,-1.69%,3.71%,1.71%,1.97%,1.94%,-0.24%,0.16%,-0.57%,1.42%,3.18%,1.89%,3.35%,62,130,112,128,79,136,308,254,314,209,23.39%,41.80%,236.5%,297.2%,154.2%,504.6%,176.3%,816.3%,-1.97%,-3.03%
2017/02/28,2017/01/31,-1.02%,-0.59%,1.23%,0.91%,-1.46%,3.94%,3.27%,4.42%,4.11%,1.78%,1.76%,1.44%,-0.24%,2.33%,3.64%,1.89%,61,129,114,129,77,141,318,265,327,213,22.85%,38.74%,242.4%,302.9%,163.5%,516.0%,171.4%,837.6%,-0.24%,-1.64%
2017/03/31,2017/02/28,-1.05%,0.05%,-0.21%,0.12%,0.49%,-0.21%,0.26%,-0.55%,0.74%,0.38%,3.79%,5.98%,0.27%,4.69%,0.13%,2.90%,61,129,113,129,78,141,319,263,330,214,24.74%,39.55%,255.4%,327.0%,163.8%,533.9%,178.9%,881.6%,0.00%,0.00%
2017/04/30,2017/03/31,-1.31%,-0.22%,0.40%,0.43%,-0.16%,0.04%,1.22%,1.28%,1.66%,0.74%,-0.70%,0.95%,-4.98%,-1.26%,1.11%,-1.55%,60,129,114,130,78,141,323,267,335,215,26.17%,40.52%,252.9%,331.0%,166.7%,524.1%,171.5%,869.2%,-0.70%,0.00%
2017/05/31,2017/04/30,-0.03%,-0.22%,-0.42%,-0.18%,-0.17%,1.64%,1.79%,0.27%,1.23%,0.29%,-1.53%,0.07%,-4.32%,-3.61%,1.06%,-3.63%,60,129,113,129,78,143,328,268,339,216,25.99%,38.63%,247.5%,331.3%,169.6%,501.5%,158.8%,834.3%,-2.22%,0.00%
2017/06/30,2017/05/31,1.50%,-0.44%,-0.35%,1.07%,-0.68%,2.52%,-0.17%,0.10%,2.03%,0.77%,-0.52%,-0.86%,0.28%,3.26%,0.90%,3.52%,61,128,113,131,77,147,328,268,346,218,23.24%,36.21%,245.7%,327.6%,172.0%,522.7%,165.6%,864.8%,-2.73%,-0.86%
2017/07/31,2017/06/30,-0.64%,-0.23%,-1.24%,0.40%,1.34%,0.78%,1.99%,1.13%,2.32%,2.92%,0.61%,0.54%,0.65%,0.59%,1.93%,0.43%,60,128,112,131,78,148,334,271,354,224,25.68%,39.12%,247.8%,329.9%,177.2%,525.3%,161.6%,870.4%,-2.13%,-0.33%
2017/08/31,2017/07/31,0.53%,-0.34%,0.03%,0.21%,-0.68%,-0.12%,0.61%,0.86%,0.45%,-1.34%,0.43%,1.64%,0.43%,-1.32%,0.26%,-1.81%,61,127,112,132,77,148,336,273,356,221,24.16%,37.42%,249.3%,337.0%,177.9%,514.0%,156.2%,857.7%,-1.70%,0.00%
2017/09/30,2017/08/31,-1.42%,0.42%,-0.71%,0.33%,0.97%,1.29%,1.98%,0.90%,3.54%,5.14%,1.14%,-0.48%,2.31%,8.17%,2.47%,8.32%,60,128,111,132,78,150,343,276,369,232,27.12%,42.71%,253.3%,334.9%,184.8%,565.1%,171.2%,935.9%,-0.58%,-0.48%
2017/10/31,2017/09/30,1.12%,-0.72%,1.15%,-2.00%,0.53%,3.35%,1.96%,3.93%,0.37%,2.20%,0.65%,0.33%,-0.13%,-1.62%,2.24%,-1.72%,60,127,112,129,79,155,350,286,370,237,26.38%,41.07%,255.6%,336.3%,191.2%,553.6%,160.5%,919.1%,0.00%,-0.16%
2017/11/30,2017/10/31,-0.79%,-0.13%,0.91%,0.15%,-1.04%,2.95%,3.02%,4.16%,3.21%,2.49%,-0.82%,-1.90%,-0.59%,1.63%,3.22%,2.20%,60,127,113,130,78,159,360,298,382,243,26.06%,40.41%,252.7%,328.0%,200.6%,568.0%,157.8%,935.7%,-0.82%,-2.06%
2017/12/31,2017/11/30,-0.66%,-0.59%,0.48%,0.16%,-0.01%,0.46%,0.84%,1.54%,1.31%,0.94%,-0.11%,-1.17%,1.61%,2.53%,1.10%,2.88%,60,126,114,130,78,160,363,303,387,246,26.88%,41.08%,252.3%,323.0%,203.8%,587.2%,162.4%,961.9%,-0.93%,-3.20%
2018/01/31,2017/12/31,3.28%,-2.12%,-0.53%,-0.83%,-0.07%,8.87%,3.48%,5.93%,4.89%,5.63%,-0.49%,-0.97%,0.49%,2.06%,5.34%,2.35%,62,123,113,129,78,174,376,321,406,259,22.63%,36.51%,250.6%,318.9%,220.1%,603.4%,154.6%,983.8%,-1.41%,-4.15%
2018/02/28,2018/01/31,1.18%,0.62%,-1.13%,-0.55%,0.44%,-2.85%,-2.70%,-4.16%,-4.26%,-4.12%,-0.45%,-0.84%,-0.92%,-6.05%,-3.65%,-5.80%,62,124,112,128,78,169,366,308,388,249,21.72%,34.77%,249.0%,315.3%,208.4%,562.6%,149.1%,918.2%,-1.86%,-4.95%
2018/03/31,2018/02/28,-0.03%,0.47%,1.12%,-0.46%,1.07%,-1.10%,-1.98%,-1.80%,-3.18%,-0.37%,1.39%,2.86%,-0.08%,3.17%,-1.98%,2.31%,62,125,113,127,79,167,359,302,376,248,23.07%,35.76%,253.8%,327.2%,202.3%,577.9%,159.8%,950.5%,-0.50%,-2.24%
2018/04/30,2018/03/31,-2.87%,0.67%,-0.09%,-0.16%,1.44%,-2.28%,0.99%,0.17%,0.30%,2.10%,0.56%,-0.82%,0.98%,1.18%,0.43%,1.43%,60,126,113,127,80,164,362,303,377,253,28.37%,41.71%,255.8%,323.7%,203.6%,587.6%,162.4%,962.9%,0.00%,-3.04%
2018/05/31,2018/04/30,-2.28%,-1.13%,0.41%,0.32%,0.52%,1.60%,1.45%,3.48%,3.21%,3.57%,0.54%,0.26%,-0.91%,5.00%,2.78%,4.92%,59,124,113,128,81,166,367,313,389,262,31.97%,44.50%,257.8%,324.8%,212.0%,621.4%,168.0%,1016%,0.00%,-2.79%
2018/06/30,2018/05/31,0.55%,-1.01%,1.34%,0.44%,-1.46%,1.56%,0.15%,1.57%,0.87%,-0.44%,-0.78%,-3.69%,-3.72%,-1.74%,0.75%,-0.64%,59,123,115,128,79,169,368,318,393,261,29.31%,41.61%,255.0%,309.1%,214.4%,616.8%,164.2%,996.5%,-0.78%,-6.37%
2018/07/31,2018/06/30,-0.41%,1.34%,-0.52%,0.65%,-2.01%,2.49%,3.97%,3.11%,4.38%,1.49%,0.76%,0.51%,-1.75%,-0.00%,3.27%,-0.15%,59,124,114,129,78,173,383,328,410,265,27.25%,40.20%,257.7%,311.2%,224.7%,615.7%,155.2%,996.5%,-0.03%,-5.90%
2018/08/31,2018/07/31,-0.14%,-0.97%,2.01%,-1.02%,-1.52%,2.69%,2.31%,6.10%,2.93%,2.26%,-0.36%,-0.27%,-0.95%,2.71%,3.55%,2.79%,59,123,117,128,77,178,391,348,422,271,25.49%,39.59%,256.4%,310.1%,236.2%,635.7%,153.2%,1026%,-0.39%,-6.16%
2018/09/30,2018/08/31,0.57%,-0.89%,-0.34%,-0.44%,1.29%,0.30%,-0.27%,-0.21%,0.08%,0.90%,1.49%,1.09%,0.99%,-0.85%,0.10%,-1.18%,59,122,116,127,78,178,390,347,422,273,26.40%,40.42%,261.7%,314.5%,236.6%,627.0%,150.0%,1017%,0.00%,-5.14%
2018/10/31,2018/09/30,-1.04%,0.86%,1.07%,2.20%,-0.42%,-9.49%,-6.62%,-6.23%,-6.34%,-9.41%,-0.18%,0.85%,-0.62%,-10.89%,-7.27%,-11.14%,59,123,118,130,77,161,365,325,395,248,27.18%,40.53%,261.0%,318.0%,212.1%,546.0%,140.3%,895.0%,-0.18%,-4.33%
2018/11/30,2018/10/31,0.38%,1.61%,-0.03%,-1.79%,1.00%,2.37%,3.57%,1.95%,-0.19%,2.97%,0.68%,0.55%,-2.94%,-1.47%,1.99%,-1.63%,59,125,117,128,78,165,378,332,395,255,27.97%,41.37%,263.4%,320.3%,218.3%,535.5%,131.6%,880.5%,0.00%,-3.80%
2018/12/31,2018/11/30,0.64%,-1.79%,0.19%,-0.16%,1.97%,-9.55%,-9.22%,-8.81%,-9.39%,-9.65%,0.90%,0.57%,-2.32%,-13.90%,-9.28%,-14.07%,59,123,118,127,80,149,343,303,358,230,29.68%,41.23%,266.7%,322.7%,188.8%,446.1%,120.5%,744.2%,0.00%,-3.26%
2019/01/31,2018/12/31,1.91%,-1.13%,0.53%,0.70%,-2.31%,10.44%,7.58%,9.31%,8.70%,8.23%,-1.05%,-1.05%,1.67%,15.63%,8.72%,15.95%,61,122,118,128,78,165,369,331,389,249,24.21%,38.11%,262.9%,318.3%,214.0%,533.1%,136.4%,876.1%,-1.05%,-4.27%
2019/02/28,2019/01/31,1.05%,0.29%,0.44%,-1.13%,-0.63%,4.76%,3.72%,3.97%,2.78%,2.88%,0.07%,-0.77%,-1.98%,3.18%,3.43%,3.41%,61,122,119,127,77,173,382,344,400,256,22.13%,35.51%,263.1%,315.1%,224.7%,554.7%,136.4%,907.1%,-0.98%,-5.00%
2019/03/31,2019/02/28,0.55%,-0.34%,-0.81%,0.26%,-0.28%,1.55%,1.78%,0.21%,2.14%,1.02%,0.19%,-1.88%,0.84%,-1.06%,1.41%,-0.50%,62,122,118,127,77,175,389,345,408,259,21.12%,34.80%,263.8%,307.3%,229.3%,551.4%,131.9%,896.4%,-0.79%,-6.79%
2019/04/30,2019/03/31,0.70%,0.16%,-1.55%,0.64%,-0.77%,4.62%,3.34%,3.05%,5.16%,3.68%,1.40%,1.39%,-1.50%,2.28%,4.02%,1.86%,62,122,116,128,76,184,402,355,429,269,19.34%,33.54%,268.9%,313.0%,242.5%,563.6%,126.9%,919.1%,0.00%,-5.49%
2019/05/31,2019/04/30,0.04%,1.05%,-1.58%,0.95%,0.64%,-7.11%,-5.05%,-8.11%,-5.71%,-6.80%,0.10%,0.49%,2.54%,-8.25%,-6.47%,-8.40%,62,123,114,129,77,170,382,326,405,250,20.06%,33.95%,269.3%,315.0%,220.4%,507.8%,122.5%,835.0%,0.00%,-5.03%
2019/06/30,2019/05/31,-0.55%,-0.02%,-0.94%,0.28%,-0.12%,6.64%,6.94%,6.83%,6.98%,6.75%,0.85%,0.73%,-3.91%,4.51%,6.83%,4.29%,62,123,113,129,77,182,408,349,433,267,20.58%,34.10%,272.4%,318.0%,242.2%,533.9%,116.9%,877.2%,0.00%,-4.34%
